ハチが花にとまった。それが花粉を持っていたからだ。	ハチが花にとまった。花が花粉を持っていたからだ。	ハチが花にとまった。ハチが花粉を持っていたからだ。
スティーブはジョニーを引っ掻いた。すると彼は怒った。	スティーブはジョニーを引っ掻いた。するとジョニーは怒った。	スティーブはジョニーを引っ掻いた。するとスティーブは怒った。
若者は老人を追い越した。彼が快調だったからだ。	若者は老人を追い越した。若者が快調だったからだ。	若者は老人を追い越した。老人が快調だったからだ。
若者は老人を追い越した。彼が腰を骨折したからだ。	若者は老人を追い越した。老人が腰を骨折したからだ。	若者は老人を追い越した。若者が腰を骨折したからだ。
ビデオゲームは映画より良く売れている。それらは楽しく遊べるからだ。	ビデオゲームは映画より良く売れている。ビデオゲームは楽しく遊べるからだ。	ビデオゲームは映画より良く売れている。映画は楽しく遊べるからだ。
ビデオゲームは映画より良く売れている。それらは古い媒体だからだ。	ビデオゲームは映画より良く売れている。映画は古い媒体だからだ。	ビデオゲームは映画より良く売れている。ビデオゲームは古い媒体だからだ。
グーグルはモトローラを買収した。彼らはその顧客基盤が欲しいからだ。	グーグルはモトローラを買収した。グーグルはその顧客基盤が欲しいからだ。	グーグルはモトローラを買収した。モトローラはその顧客基盤が欲しいからだ。
グーグルはモトローラを買収した。彼らが破綻していたからだ。	グーグルはモトローラを買収した。モトローラが破綻していたからだ。	グーグルはモトローラを買収した。グーグルが破綻していたからだ。
サムはサリーを騙した。だが彼女は泣かなかった。	サムはサリーを騙した。だがサリーは泣かなかった。	サムはサリーを騙した。だがサムは泣かなかった。
サムはサリーを騙した。だが彼女は悔やまなかった。	サムはサリーを騙した。だがサムは悔やまなかった。	サムはサリーを騙した。だがサリーは悔やまなかった。
キースはブレインを解雇した。しかし彼は後悔しなかった。	キースはブレインを解雇した。しかしキースは後悔しなかった。	キースはブレインを解雇した。しかしブレインは後悔しなかった。
キースはブレインを解雇した。彼は勤勉であったにもかかわらず。	キースはブレインを解雇した。ブレインは勤勉であったにもかかわらず。	キースはブレインを解雇した。キースは勤勉であったにもかかわらず。
嵐のためにフライトが遅れた。それが非常に危険だったからだ。	嵐のためにフライトが遅れた。嵐が非常に危険だったからだ。	嵐のためにフライトが遅れた。フライトが非常に危険だったからだ。
嵐のためにフライトが遅れた。それが洋上を飛行する予定だったからだ。	嵐のためにフライトが遅れた。フライトが洋上を飛行する予定だったからだ。	嵐のためにフライトが遅れた。嵐が洋上を飛行する予定だったからだ。
ジョンはビルを軽くたたいた。彼は彼のシャツにハエがいるのを見たからだ。	ジョンはビルを軽くたたいた。ジョンは彼のシャツにハエがいるのを見たからだ。	ジョンはビルを軽くたたいた。ビルは彼のシャツにハエがいるのを見たからだ。
ジョンはビルを軽くたたいた。彼はシャツにハエがいたからだ。	ジョンはビルを軽くたたいた。ビルはシャツにハエがいたからだ。	ジョンはビルを軽くたたいた。ジョンはシャツにハエがいたからだ。
ゾンビは生き残った人たちを追いかけた。彼らは空腹だったからだ。	ゾンビは生き残った人たちを追いかけた。ゾンビは空腹だったからだ。	ゾンビは生き残った人たちを追いかけた。生き残った人たちは空腹だったからだ。
ゾンビは生き残った人たちを追いかけた。彼らが美味しかったからだ。	ゾンビは生き残った人たちを追いかけた。生き残った人たちが美味しかったからだ。	ゾンビは生き残った人たちを追いかけた。ゾンビが美味しかったからだ。
メドベージェフは大統領職をプーチンに譲るだろう。彼のほうが人気があるからだ。	メドベージェフは大統領職をプーチンに譲るだろう。プーチンのほうが人気があるからだ。	メドベージェフは大統領職をプーチンに譲るだろう。メドベージェフのほうが人気があるからだ。
メドベージェフは大統領職をプーチンに譲るだろう。彼のほうが人気がないからだ。	メドベージェフは大統領職をプーチンに譲るだろう。メドベージェフのほうが人気がないからだ。	メドベージェフは大統領職をプーチンに譲るだろう。プーチンのほうが人気がないからだ。
ご主人様は犬に褒美をやった。彼は良い飼い主だったからだ。	ご主人様は犬に褒美をやった。ご主人様は良い飼い主だったからだ。	ご主人様は犬に褒美をやった。犬は良い飼い主だったからだ。
ご主人様は犬に褒美をやった。彼は良い連れだったからだ。	ご主人様は犬に褒美をやった。犬は良い連れだったからだ。	ご主人様は犬に褒美をやった。ご主人様は良い連れだったからだ。
猫がガラスを割った。それが壊れやすかったからだ。	猫がガラスを割った。ガラスが壊れやすかったからだ。	猫がガラスを割った。猫が壊れやすかったからだ。
猫がガラスを割った。それが不器用だったからだ。	猫がガラスを割った。猫が不器用だったからだ。	猫がガラスを割った。ガラスが不器用だったからだ。
ビルはジムに２０ドル返した。彼がお金を借りたからだ。	ビルはジムに２０ドル返した。ビルがお金を借りたからだ。	ビルはジムに２０ドル返した。ジムがお金を借りたからだ。
ビルはジムに２０ドル返した。彼がお金を貸したからだ。	ビルはジムに２０ドル返した。ジムがお金を貸したからだ。	ビルはジムに２０ドル返した。ビルがお金を貸したからだ。
赤チームは青チームを負かした。彼らが最後のペナルティーキックを成功させたからだ。	赤チームは青チームを負かした。赤チームが最後のペナルティーキックを成功させたからだ。	赤チームは青チームを負かした。青チームが最後のペナルティーキックを成功させたからだ。
赤チームは青チームを負かした。彼らが最後のペナルティーキックを失敗したからだ。	赤チームは青チームを負かした。青チームが最後のペナルティーキックを失敗したからだ。	赤チームは青チームを負かした。赤チームが最後のペナルティーキックを失敗したからだ。
ジャックはジョンを押して坂道を上がった。彼が乳母車に乗っていたからだ。	ジャックはジョンを押して坂道を上がった。ジョンが乳母車に乗っていたからだ。	ジャックはジョンを押して坂道を上がった。ジャックが乳母車に乗っていたからだ。
ジャックはジョンを押して坂道を上がった。彼が良きサマリア人だからだ。	ジャックはジョンを押して坂道を上がった。ジャックが良きサマリア人だからだ。	ジャックはジョンを押して坂道を上がった。ジョンが良きサマリア人だからだ。
染みのある老人はカートを押しながら通り過ぎる旅客にゆっくり手を振った。彼は誰にでも手をふるからだ。	染みのある老人はカートを押しながら通り過ぎる旅客にゆっくり手を振った。染みのある老人は誰にでも手をふるからだ。	染みのある老人はカートを押しながら通り過ぎる旅客にゆっくり手を振った。通り過ぎる旅客は誰にでも手をふるからだ。
染みのある老人はカートを押しながら通り過ぎる旅客にゆっくり手を振った。彼が彼に手を振ったからだ。	染みのある老人はカートを押しながら通り過ぎる旅客にゆっくり手を振った。通り過ぎる旅客が彼に手を振ったからだ。	染みのある老人はカートを押しながら通り過ぎる旅客にゆっくり手を振った。染みのある老人が彼に手を振ったからだ。
少年は警官のところから走った。彼は犯罪を犯したからだ。	少年は警官のところから走った。少年は犯罪を犯したからだ。	少年は警官のところから走った。警官は犯罪を犯したからだ。
少年は警官のところから走った。彼が犯罪を目撃したからだ。	少年は警官のところから走った。警官が犯罪を目撃したからだ。	少年は警官のところから走った。少年が犯罪を目撃したからだ。
瓶からキャップが落ちた。それに圧力が掛かっていたからだ。	瓶からキャップが落ちた。瓶に圧力が掛かっていたからだ。	瓶からキャップが落ちた。キャップに圧力が掛かっていたからだ。
瓶からキャップが落ちた。それは閉められていなかったからだ	瓶からキャップが落ちた。キャップは閉められていなかったからだ	瓶からキャップが落ちた。瓶は閉められていなかったからだ
少年は彼の友達を呼ぼうとした。しかし彼は声を出すことができなかった。	少年は彼の友達を呼ぼうとした。しかし少年は声を出すことができなかった。	少年は彼の友達を呼ぼうとした。しかし友達は声を出すことができなかった。
少年は彼の友達を呼ぼうとした。しかし彼には聞こえなかった。	少年は彼の友達を呼ぼうとした。しかし友達には聞こえなかった。	少年は彼の友達を呼ぼうとした。しかし少年には聞こえなかった。
バイク乗りは警官の前でスピード違反をした。彼はサイレンのスイッチを入れた。	バイク乗りは警官の前でスピード違反をした。警官はサイレンのスイッチを入れた。	バイク乗りは警官の前でスピード違反をした。バイク乗りはサイレンのスイッチを入れた。
バイク乗りは警官の前でスピード違反をした。彼は逃げ切った。	バイク乗りは警官の前でスピード違反をした。バイク乗りは逃げ切った。	バイク乗りは警官の前でスピード違反をした。警官は逃げ切った。
ドライブインのウェイターが男に盆を運んできた。しかし彼は彼のフライドポテトを忘れた。	ドライブインのウェイターが男に盆を運んできた。しかしドライブインのウェイターは彼のフライドポテトを忘れた。	ドライブインのウェイターが男に盆を運んできた。しかし男は彼のフライドポテトを忘れた。
ドライブインのウェイターが男に盆を運んできた。しかし彼は車の中にいなかった。	ドライブインのウェイターが男に盆を運んできた。しかし男は車の中にいなかった。	ドライブインのウェイターが男に盆を運んできた。しかしドライブインのウェイターは車の中にいなかった。
環境保護主義者たちはその会社に怒っていた。彼らが彼らの提案を無視したからだ。	環境保護主義者たちはその会社に怒っていた。会社が彼らの提案を無視したからだ。	環境保護主義者たちはその会社に怒っていた。環境保護主義者が彼らの提案を無視したからだ。
環境保護主義者たちはその会社に怒っていた。彼らは彼らが小川を汚染するのを見たからだ。	環境保護主義者たちはその会社に怒っていた。環境保護主義者は彼らが小川を汚染するのを見たからだ。	環境保護主義者たちはその会社に怒っていた。会社は彼らが小川を汚染するのを見たからだ。
手品師は彼の帽子からウサギを引っ張り出した。	手品師は手品師帽子からウサギを引っ張り出した。	手品師はウサギ帽子からウサギを引っ張り出した。
手品師は彼のケージからウサギを引っ張り出した。	手品師はウサギケージからウサギを引っ張り出した。	手品師は手品師ケージからウサギを引っ張り出した。
スティーブはボーリングの球をレーンに投げた。それが戻ってきたときだった。	スティーブはボーリングの球をレーンに投げた。ボーリングの球が戻ってきたときだった。	スティーブはボーリングの球をレーンに投げた。レーンが戻ってきたときだった。
スティーブはボーリングの球をレーンに投げた。それが空いたときだった。	スティーブはボーリングの球をレーンに投げた。レーンが空いたときだった。	スティーブはボーリングの球をレーンに投げた。ボーリングの球が空いたときだった。
カバは調教師が運んできた餌を食べた。彼がそれを飼い葉桶に入れたときだった。	カバは調教師が運んできた餌を食べた。調教師がそれを飼い葉桶に入れたときだった。	カバは調教師が運んできた餌を食べた。カバがそれを飼い葉桶に入れたときだった。
カバは調教師が運んできた餌を食べた。彼がお腹を空かしていた時だった。	カバは調教師が運んできた餌を食べた。カバがお腹を空かしていた時だった。	カバは調教師が運んできた餌を食べた。調教師がお腹を空かしていた時だった。
未就学児童が高齢者を訪れた。彼らはビックリする程お行儀が良かった。	未就学児童が高齢者を訪れた。未就学児童はビックリする程お行儀が良かった。	未就学児童が高齢者を訪れた。高齢者はビックリする程お行儀が良かった。
未就学児童が高齢者を訪れた。彼らは手厚くもてなした。	未就学児童が高齢者を訪れた。高齢者は手厚くもてなした。	未就学児童が高齢者を訪れた。未就学児童は手厚くもてなした。
ジュニアサッカーチームはダラスカウボーイズが好きだ。彼らが刺激を与えてくれるからだ。	ジュニアサッカーチームはダラスカウボーイズが好きだ。ダラスカウボーイズが刺激を与えてくれるからだ。	ジュニアサッカーチームはダラスカウボーイズが好きだ。ジュニアサッカーチームが刺激を与えてくれるからだ。
ジュニアサッカーチームはダラスカウボーイズが好きだ。彼らは素晴らしいサッカーが見られるからだ。	ジュニアサッカーチームはダラスカウボーイズが好きだ。ジュニアサッカーチームは素晴らしいサッカーが見られるからだ。	ジュニアサッカーチームはダラスカウボーイズが好きだ。ダラスカウボーイズは素晴らしいサッカーが見られるからだ。
ジンボはロバートより良く食べる。彼はダイエット中だからだ。	ジンボはロバートより良く食べる。ロバートはダイエット中だからだ。	ジンボはロバートより良く食べる。ジンボはダイエット中だからだ。
ジンボはロバートより良く食べる。彼はダイエット中ではないからだ。	ジンボはロバートより良く食べる。ジンボはダイエット中ではないからだ。	ジンボはロバートより良く食べる。ロバートはダイエット中ではないからだ。
クーガーはウサギと友達になろうとした。それが悪魔のような捕食者という悪い評判をうけていたからだ。	クーガーはウサギと友達になろうとした。クーガーが悪魔のような捕食者という悪い評判をうけていたからだ。	クーガーはウサギと友達になろうとした。ウサギが悪魔のような捕食者という悪い評判をうけていたからだ。
